Name,Description,Price,Original Price,Category,Subcategory,Brand,SKU,Images,Status
"Magnesium Malate Capsules (180 Count)","Get Magnesium Malate Capsules (180 Count) at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3595.00,4994.00,"Food Supplements","","Double Wood","B0DBM77H9J","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61nZahZiARL._AC_SL1500.jpg?v=1776773200",active
"vitafusion Magnesium Glycinate Gummy","Get vitafusion Magnesium Glycinate Gummy at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4295.00,5579.00,"Specialty Supplements","Sleep Supplements","Vitafusion","B0FX5TG1W4","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71-4cGiwNiL._AC_SL1500.jpg?v=1776158977",active
"Life Extension Body Trim and Appetite Control,","Get Life Extension Body Trim and Appetite Control, at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4554.00,,"Weight Management","","Life Extension","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71wk9GpjPQL._AC_SL1500.jpg?v=1775299798",active
"Sports Research Collagen Peptides Powder, 680g","Get Sports Research Collagen Peptides Powder, 680g at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",8495.00,9999.00,"Collagen","Collagen Peptides","Sports Research","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/fe2e14ed-8998-4015-b406-b8803162ca6e.2d19acf4eac71d52f02db68bc60562ff.avif?v=1774879362",active
"OLLY Adult Probiotic + Prebiotic Digestive Support Gummy, Peach, 70 ct","Get OLLY Adult Probiotic + Prebiotic Digestive Support Gummy, Peach, 70 ct at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3795.00,4995.00,"Probiotics & Gut Health","Digestive Supplements","OLLY","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/ollypro.avif?v=1774861296",active
"OLLY Men's Multivitamin Gummy, Blackberry, 200 ct","Get OLLY Men's Multivitamin Gummy, Blackberry, 200 ct at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3795.00,4995.00,"Men's Health","Men's Multivitamins","OLLY","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/MENMULTI2001.avif?v=1774861019",active
"Nature Made Prenatal Vitamins for Women with Folic Acid + DHA","Get Nature Made Prenatal Vitamins for Women with Folic Acid + DHA at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4999.00,5500.00,"Food Supplements","","Nature Made","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71XV3_ZIB2L._AC_SL1500.jpg?v=1774859083",active
"Dr. Mercola L-Glycine","Get Dr. Mercola L-Glycine at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4299.00,5500.00,"Food Supplements","","Dr. Mercola","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61DOYib9DnL._AC_SL1500.jpg?v=1774689451",active
"HelloPharmacist BioIdentical Progesterone Cream 3 oz","Get HelloPharmacist BioIdentical Progesterone Cream 3 oz at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",10450.00,14995.00,"Women's Health","Women's Multivitamins","HelloPharmacist","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71u-e1gbglL._AC_SL1500.jpg?v=1774271633",active
"DHEA 75 MG TOPICAL GEL","Get DHEA 75 MG TOPICAL GEL at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",10999.00,12999.00,"Food Supplements","","phytogenesis","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71b0F_y1-FL._AC_SL1500__2.jpg?v=1773665672",active
"Sports Research  Omega 3","Get Sports Research  Omega 3 at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4299.00,6600.00,"Food Supplements","","Sports Research","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61WqcJbVylL._AC_SL1500.jpg?v=1773665393",active
"OLLY Women's Multivitamin Gummy 45 Day Supply - 90 Count","Get OLLY Women's Multivitamin Gummy 45 Day Supply - 90 Count at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3195.00,4099.00,"Vitamins","Multivitamins","OLLY","B014G4AY1A","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/71G4jCyVkaL._AC_SL1500.jpg?v=1773403491",active
"MaryRuth's, Liquid Morning Multivitamin + Hair Growth","Get MaryRuth's, Liquid Morning Multivitamin + Hair Growth at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",6899.00,8800.00,"Food Supplements","","MaryRuth Organics","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/24_1.avif?v=1773229954",active
"Muscle Milk Genuine 32g Whey Protein Powder, Vanilla Cream 1.12kg","Get Muscle Milk Genuine 32g Whey Protein Powder, Vanilla Cream 1.12kg at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",7195.00,9999.00,"Protein","Whey Protein","Muscle Milk","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/MM1.avif?v=1773210065",active
"Dymatize ISO100 Hydrolyzed Whey Protein Powder, Fruity Pebbles","Get Dymatize ISO100 Hydrolyzed Whey Protein Powder, Fruity Pebbles at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",7195.00,8995.00,"Protein","Whey Protein","Dymatize","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/ISOPEBBLES1.avif?v=1773209588",active
"ISO100 clear pineapple passion punch dymatize 650g","Get ISO100 clear pineapple passion punch dymatize 650g at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",5995.00,7995.00,"Protein","Whey Protein","Dymatize","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/ISO650PINEAPPLE.avif?v=1773208418",active
"Vital Nutrients DHEA 25mg","Get Vital Nutrients DHEA 25mg at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3599.00,4500.00,"Food Supplements","","Vital Nutrients","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61KonmCy-yL._AC_SL1500.jpg?v=1772613569",active
"Nutricost Diosmin with Hesperidin (1000mg)","Get Nutricost Diosmin with Hesperidin (1000mg) at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3599.00,5600.00,"Food Supplements","","Nutricost","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/Nutricost_Diosmin_with_Hesperidin.webp?v=1773055480",active
"OLLY Restful Sleep Gummies, Blackberry, 110 ct.","Get OLLY Restful Sleep Gummies, Blackberry, 110 ct. at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3999.00,5500.00,"Food Supplements","","Olly","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/0f86d8b2-89a0-4e6c-9c77-14379651427c.a278e503cd49235e2ab0279d03203971.avif?v=1771842995",active
"One A Day Multivitamin for Men 300tablets","Get One A Day Multivitamin for Men 300tablets at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3799.00,,"Vitamins","Multivitamins","One A Day","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/4d42740f-7573-4bed-ae85-e189805ad697.12e209f2ca957d6abc8330d1b7c6bdb1.avif?v=1771842631",active
"Sports Research Berberine 90 soft gels  + coconut oil","Get Sports Research Berberine 90 soft gels  + coconut oil at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",5999.00,7500.00,"Food Supplements","","Sports Research","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/51-1m0Y1i8L._AC_SL1200_f1c07725-6063-4963-8348-01186b886964.jpg?v=1771839757",active
"Nature Made Flaxseed Oil 1400 mg Softgels, 300 ct.","Get Nature Made Flaxseed Oil 1400 mg Softgels, 300 ct. at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3399.00,4500.00,"Food Supplements","","Nature Made","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/82019d3b-b343-4422-b7f2-998d3041fa3d.d262e07c8275bbb877a1d485a8fc0d90_94f6292c-0dfd-47d7-a4ed-b9715025f63a.avif?v=1771512983",active
"OLLY Kids Multivitamin + Probiotic Gummy, Berry, 160 ct.","Get OLLY Kids Multivitamin + Probiotic Gummy, Berry, 160 ct. at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3900.00,4500.00,"Probiotics & Gut Health","Probiotics","Olly","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/aecd3a06-082d-4bbb-aeb4-7e1530cbee29.a36af8dc545c9954b24ced3eb60ef171_1.avif?v=1771512583",active
"OLLY Women's Multivitamin Gummies, 200 ct.","Get OLLY Women's Multivitamin Gummies, 200 ct. at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",3999.00,5500.00,"Vitamins","Multivitamins","Olly","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/75e39595-90a6-4493-8287-c878e7f3d1d0.8d5a230a8822fa48d3328132ed0d6e3b.avif?v=1771510820",active
"Silver Women 50+ Multivitamin, 275 Tablets","Get Silver Women 50+ Multivitamin, 275 Tablets at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4399.00,5500.00,"Vitamins","Multivitamins","Centrum","","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/6b4f9f9f-63a1-486f-b31a-10c561f5598c.a4db199c5fb09ce625b2bd3e06393762.avif?v=1771234585",active
"Vital Nutrients Lithium Orotate 5mg","Get Vital Nutrients Lithium Orotate 5mg at unbeatable prices with same-day delivery in Nairobi, Kenya from Supplements Kenya.",4999.00,7342.00,"Specialty Supplements","Brain & Cognitive","Vital Nutrients","B000Z4ZQB4  B000Z4ZQB4","https://cdn.shopify.com/s/files/1/0668/3384/2462/files/61YxZKlkLfL._AC_SL1500.jpg?v=1770724540",active
